newspaper	date	wk
the-cambria-freeman	1891-01-30	0
arizona-weekly-citizen	1891-03-28	0
the-kimball-graphic	1890-11-14	0
morning-appeal	1891-01-03	0
evening-capital-journal	1891-03-25	0
the-daily-state-chronicle	1891-02-17	0
virginia-free-press	1891-02-18	0
the-hartford-herald	1891-01-14	0
telegram-herald	1890-11-20	0
the-irish-standard	1890-11-08	0
fergus-falls-ugeblad	1891-01-14	0
freie-presse-für-texas	1891-01-12	0
sturgis-advertiser	1891-01-08	0
the-prison-mirror	1890-12-11	0
the-anaconda-standard	1891-03-17	0
the-durham-daily-globe	1890-11-06	0
the-globe-republican	1891-02-25	0
wheeling-register	1890-12-09	0
the-madison-daily-leader	1890-12-24	0
pittsburg-dispatch	1890-12-31	0
the-sun	1891-02-14	0
the-evening-bulletin	1890-12-29	0
richmond-dispatch	1891-03-18	0
arizona-republican	1891-01-14	0.0439
the-madison-daily-leader	1890-12-30	0
pittsburg-dispatch	1890-12-25	0
the-columbia-herald	1891-02-20	0
wessington-springs-herald	1891-01-23	0.0154
wood-river-times	1891-01-09	0
daily-independent	1891-01-22	0
freie-presse-für-texas	1891-01-06	0
idaho-county-free-press	1891-02-20	0
the-anaconda-standard	1891-03-03	0
elmore-bulletin	1891-02-07	0
evening-star	1891-02-23	0
der-deutsche-correspondent	1891-03-27	0
the-forrest-city-times	1891-01-23	0
morning-journal-and-courier	1890-11-22	0
the-austin-weekly-statesman	1891-02-12	0
griggs-courier	1891-03-27	0
weekly-expositor	1891-01-02	0
fergus-falls-ugeblad	1891-01-28	0
the-russellville-democrat	1891-03-19	0
the-madison-daily-leader	1890-12-18	0.0101
the-evening-bulletin	1890-12-15	0
sacramento-daily-record-union	1890-12-12	0
the-livingston-enterprise	1891-01-03	0
the-sun	1891-02-28	0
wood-river-times	1891-01-21	0
richmond-dispatch	1891-03-24	0
pittsburg-dispatch	1890-12-19	0
the-southern-herald	1890-11-21	0
sacramento-daily-record-union	1890-12-06	0
the-evening-bulletin	1890-12-01	0.013
the-livingston-enterprise	1891-01-17	0
news-and-citizen	1891-02-19	0
arizona-republican	1891-01-28	0
the-great-west	1891-01-23	0
arizona-weekly-journal-miner	1891-01-07	0.0119
vermont-phœnix	1891-02-06	0
weekly-expositor	1891-01-16	0
telegram-herald	1890-11-08	0
pullman-herald	1890-12-27	0
western-liberal	1891-03-27	0
the-seattle-post-intelligencer	1891-01-18	0.0175
the-frankfort-roundabout	1890-11-15	0
the-wichita-daily-eagle	1891-01-06	0.0302
evening-journal	1890-12-08	0
evening-capital-journal	1891-01-08	0.0217
saint-mary's-beacon	1891-03-26	0
the-times	1891-02-25	0
new-york-tribune	1891-02-25	0
the-iowa-plain-dealer	1891-02-26	0
the-morning-call	1891-02-19	0
the-frankfort-roundabout	1890-11-01	0
los-angeles-herald	1890-11-19	0
tombstone-daily-prospector	1891-01-08	0.0219
the-morning-news	1891-02-09	0
the-yakima-herald	1890-11-06	0
alexandria-gazette	1891-01-21	0
daily-yellowstone-journal	1890-11-16	0
the-frankfort-roundabout	1890-11-29	0
the-morning-news	1891-02-21	0
rock-island-daily-argus	1891-01-22	0.013
tombstone-daily-prospector	1891-01-20	0
the-seattle-post-intelligencer	1891-01-24	0.0112
alexandria-gazette	1891-01-09	0.0114
the-pacific-commercial-advertiser	1890-11-13	0
the-wheeling-daily-intelligencer	1891-01-22	0.0166
morning-appeal	1891-03-12	0
new-york-tribune	1891-02-19	0
evening-journal	1890-12-20	0
morning-appeal	1891-03-06	0
evening-capital-journal	1891-01-20	0
the-hartford-herald	1891-03-11	0
the-times	1891-02-19	0
the-midland-journal	1891-02-06	0
the-pacific-commercial-advertiser	1890-11-07	0
capital-city-courier	1891-01-10	0
the-seattle-post-intelligencer	1891-01-30	0.0103
dziennik-chicagoski	1891-01-16	0
the-morning-call	1891-02-25	0
daily-yellowstone-journal	1890-11-02	0
los-angeles-herald	1890-11-25	0
wood-river-times	1891-03-18	0
the-vermont-watchman	1891-03-04	0
the-bolivar-bulletin	1891-02-27	0
waterbury-evening-democrat	1891-02-20	0
arizona-republican	1891-03-05	0
frostburg-mining-journal	1891-01-31	0
the-semi-weekly-tribune	1890-11-22	0
the-diamond-drill	1891-01-03	0
daily-tobacco-leaf-chronicle	1891-02-20	0
asheville-daily-citizen	1891-02-24	0
santa-fe-daily-new-mexican	1891-02-02	0
fergus-falls-ugeblad	1891-03-11	0
st	1890-11-14	0
the-evening-world	1891-01-27	0
la-correspondencia-de-puerto-rico	1891-02-28	0
freie-presse-für-texas	1891-03-17	0
the-anaconda-standard	1891-01-12	0.0167
the-helena-independent	1891-02-15	0
sturgis-advertiser	1891-03-19	0
daily-independent	1891-03-27	0
freie-presse-für-texas	1891-03-03	0
the-anaconda-standard	1891-01-06	0.022
the-helena-independent	1891-02-01	0
der-deutsche-correspondent	1891-01-22	0
santa-fe-daily-new-mexican	1891-02-16	0
the-manitowoc-pilot	1891-03-05	0
arizona-republican	1891-03-11	0
the-diamond-drill	1891-01-17	0
the-kinsley-graphic	1891-01-23	0
richmond-dispatch	1891-01-09	0.0133
the-roanoke-times	1890-12-23	0
wood-river-times	1891-03-24	0
richmond-dispatch	1891-01-21	0
st	1890-11-28	0
the-caldwell-tribune	1890-11-22	0
la-correspondencia-de-puerto-rico	1891-02-14	0
the-camden-journal	1890-11-20	0
asheville-daily-citizen	1891-02-18	0
weekly-expositor	1891-03-13	0
the-russellville-democrat	1891-01-08	0.0155
wood-river-times	1891-03-30	0
oxford-democrat	1890-11-11	0
the-jersey-city-news	1891-02-20	0
the-daily-morning-astorian	1890-12-02	0
watauga-democrat	1890-12-18	0
the-rugby-news	1891-02-07	0
the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district	1890-11-01	0
omaha-daily-bee	1891-02-04	0
the-louisiana-democrat	1890-11-19	0
the-caucasian	1891-01-22	0
the-indianapolis-journal	1891-01-20	0.0193
omaha-daily-bee	1891-02-10	0
essex-county-herald	1890-11-07	0
the-superior-times	1890-11-08	0
the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district	1890-11-15	0
the-hocking-sentinel	1891-01-08	0
the-portland-daily-press	1891-01-26	0
southern-standard	1891-02-28	0
the-daily-morning-astorian	1890-12-16	0
the-daily-state-chronicle	1890-11-08	0
the-weekly-messenger	1891-03-07	0
jamestown-weekly-alert	1890-11-06	0
evening-journal	1891-03-12	0
the-daily-state-chronicle	1890-11-20	0
the-bossier-banner	1891-03-05	0
the-salt-lake-herald	1890-11-04	0
